coid,code,title,ger,prerequisites,description,credits
66752,CHN-402,Advanced Chinese II,,CHN-401,Continued emphasis on advanced skills of conversation and discussion in Mandarin Chinese. Special focuses include effective exchange of evolved ideas concerning various cultural topics of interest.,4 credits
66751,CHN-401,Advanced Chinese I,,CHN-302,Continued study of Mandarin Chinese emphasizing advanced conversation skills. Special focus on effective exchange of more complex ideas in daily life and topics of interest.,4 credits
66753,CHN-403,Chinese through Film and Media,,CHN-402,"Utilizing a textbook on Chinese language films, students will encounter original Chinese texts related with films and TV shows. Emphasis on developing high level of reading, writing, speaking, and listening comprehension, and on greater sophistication in utilizing appropriate discourse strategies.",4 credits
67627,CLS-102,Classics: The Basics,GER: TA (Analysis of Texts),,"An introduction to the study of the Classical world. Survey of the fundamental texts, critical historical events, and significant artifacts and sites.",4 credits
67669,CLS-104,Sport and Violence in the Ancient World,GER: HA (Historical Analysis),,"Survey of Greek and Roman athletic competitions and violent spectacles; examination of athletes and sports in the politics, economy, religion, art, and literature of the ancient world.",4 credits
66756,CHN-504,Directed Independent Study,,,Variable credit.,
67605,CLS-101,Homer for Everyone,GER: TA (Analysis of Texts),,"This course explores (in translation) Homer’s Iliad and Odyssey, two narrative epic poems that are widely understood to form the basis of classical tradition since antiquity. Students will employ close textual analysis and various forms of literary interpretation as they immerse themselves in the cultural imaginary of the Greeks.",4 credits
67604,CLS-103,Mythology,GER: TA (Analysis of Texts),,"Survey of ancient mythologies across the world and their reception. Topics include mythologies from Mesopotamia, India, Egypt, Greece, Rome, China, Japan, Indigenous Latin America.",4 credits
67337,CLS-210,Introduction to Greek Archaeology,,,"Illustrated lecture survey of the principal archaeological sites in ancient Greece and Italy. Study of the material culture, monumental remains, and the developing styles in art, architecture, and city planning. Introduction to the goals, methodologies, and achievements of archaeological excavation.",4 credits
67602,CLS-212,Geography and Travel in the Ancient Mediterranean Catalog,GER: NE (Natural Environment) and TA (Analysis of Texts),,"The course examines how human groups in antiquity navigated their landscapes, and how this influenced their perception of the environment and their interactions with it. Topics include: the origins of geography and astronomy, technologies of navigation, travel and storytelling, imperial geographies, ancient utopias, tourism in antiquity.",4 credits
66320,CLS-111,Introduction to Classics,GER: HA (Historical Analysis of Human Interactions),,"Introduction to the field of Classical Studies, focusing on philology, history, archaeology, art, and architecture and their sub-fields. Other topics include: the intellectual history of the discipline, transmission of texts, scholarly theory and methodology, and cultural informatics.",4 credits
67603,CLS-105,The Ancient World in 50 Archaeological Objects,GER: HA (Historical Analysis),,"An archaeological introduction to the ancient Mediterranean world by means of specific artifacts and historical sites. Topics include: everyday activities (food, clothing, homes), art, industry, entertainment, religion, death and burial, and war.",4 credits
66321,CLS-211,Classical Archaeology,GER: HA (Historical Analysis of Human Interactions),,"Illustrated lecture survey of the principal archaeological sites in Italy with emphasis on ancient Rome. The material culture and monumental remains and the developing styles in Roman art, architecture, and city planning. Examination of principal sites and monuments, as well as techniques and methods of excavation.",4 credits
67625,CLS-216,Historical Linguistics & PIE,GER: HB (Human Behavior),,"An introduction to language change and the methodology of historical linguistic analysis, using data from the Indo-European family of languages.",4 credits
67671,CLS-214,Law and Order: Greece & Rome,GER: HA (Historical Analysis),,Historical view of how law developed in the ancient world; formation of law codes; origins of legal ideas and practices.,4 credits
67670,CLS-213,Inventing the Book,GER: HA (Historical Analysis),,"The book as a technology for the transmission of information. Topics include: study of early technologies of writing, such as clay tablets, stone inscriptions and papyri, Medieval manuscripts, early print editions, up to modern digital editions.",4 credits
66322,CLS-220,Greek Civilization,GER: HA (Historical Analysis of Human Interactions),,"Chronological survey of Greek political, military, and economic history, development of literature, sculpture and major architecture; attention to domestic and religious aspects of the Greek experience.",4 credits
67626,CLS-215,Science and Innovation in Antiquity,,,"Overview of the origins of science in the ancient world. Topics include: botany, astronomy, mathematics, geometry, technology and mechanics.",4 credits
66325,CLS-231,Reading Latin Literature,"GER: TA (Critical, Analytical Interpretations of Texts)",,"Survey in English translation of Latin literature. Topics include: a general survey of Latin literature and the concentrated reading and interpretation of selected works by authors such as Plautus, Caesar, Cicero, Catullus, Horace, Vergil, Livy, Seneca, and others.",4 credits
66324,CLS-230,Reading Greek Literature,"GER: TA (Critical, Analytical Interpretations of Texts)",,"Survey in English translation of Classical Greek literature, including the Homeric epic poems, Greek tragedy and comedy, and other significant genres.",4 credits
66323,CLS-221,Roman Civilization,GER: HA (Historical Analysis of Human Interactions),,"A study of Rome from its origins to its putative fall in the fifth century. Focus on the development and influence of Roman social, cultural, and political structures.",4 credits
67673,CLS-223,Immigration and Integration in Greece and Rome,GER: HA (Historical Analysis),,"This course examines how and why ancient civilizations migrated (from where and to where) and how they interacted with one another. Additional topics: colonization, networks, foundation.",4 credits
67672,CLS-222,Title The Invention of Archaeology,,,"The development of archaeology from its unscientific beginnings in looting to its modern practice. Topics include the discovery of Pompeii and Troy, the beginning of art history, and the ethical questions around excavation, exhibition, and ownership.",4 credits
66326,CLS-320,Travel Study in Classical Civilizations,,,"Cultural history of the ancient Greek and Roman world, including art and architecture, archaeology, literature, religion, and daily life.",4 credits
67624,CLS-321,Polytheism and Its Problems,GER: UQ (Ultimate Questions),,"The polytheistic belief system of the Greeks and Romans. Topics include the limitations of the evidence, the variety of religious experience, myth, ritual and personnel, and religious competition and conflict.",4 credits
67674,CLS-232,Guide to the Good Life,GER: UQ (Ultimate Questions),,"How to live a good life, according to ancient theories about the summum bonum (“highest good”). Topics include ancient arguments about what is truly important, the pragmatic principles posited by Epicureans and Stoics, and the possibility of living well according to these values, both then (as exemplified by individual Greek and Roman figures) and now.",4 credits
67675,CLS-233,The Art of Poetry,,,"Survey of Greek and Latin poetry in translation with emphasis on technique. Topics include orality, quantitative meter, the ‘birth of subjectivity,’ autofiction, criticism of poetry, metaphor and image, and comparison with later poets and songs.",4 credits
67676,CLS-311,Business and Entrepreneurship in Greece and Rome,,,"The history of economy, labor, and commerce in the ancient world. Topics include: entrepreneurship, innovation, resource management, slavery, taxation, banking, and euergetism.",4 credits
67623,CLS-322,The Power in Democracy,GER: HA (Historical Analysis),,"“Democracy” originated as a word, a concept, and a system of government in the Ancient Greek world. This course looks at the origins of “democracy”, its role in the history of the city-state of Athens, its institutions, successes, and failures.",4 credits
67677,CLS-323,What is “Western Civilization”?,,,"Examination of the problematic idea of “Western Civilization,” the origins and development of the idea, its deployment in power relationships, and responses to it. The course examines how the concept of “Western Civilization” has been used across time, to provide the foundation to specific agendas, and often originating from a problematic reception of the Classical discourse. Topics include: the problematic reception of ancient Rome under the Fascism; the myth of whiteness in Classical art; the re-use of Classical antiquity in the alt-right.",4 credits
67678,CLS-331,Constructing Identities,GER: UQ (Ultimate Questions),,"Study of how ancient Greeks and Romans constructed their own identities, how they expressed and understood differences between other communities in the ancient Mediterranean world, and how these ancient perceptions influence modern ideas about identity.",4 credits
67622,CLS-401,Seminar in Classics,GER: WR (Writing-Research Intensive),,"Discussion-based meetings will explore a core question about the ancient world and its people. Students will conceive, design, and execute their own research project connected to the main topic of the seminar. All seminars include an assignment encouraging students to integrate and to reflect upon their varied classroom, travel study, and internship experiences over the course of the major.",4 credits
67679,CLS-332,Women and Power in Antiquity,"GER: TA (Critical, Analytical Interpretation of Texts)",,This course examines the representation of women in Greece and Rome as well as attitudes about human sexuality and gender through image and text.,4 credits
66349,COM-202,Digital Storytelling,GER: VP (Visual and Performing Arts),"Any one of the following: COM-101 , COM-102 , COM-201 , or ART-111","The use of digital, electronic media in the cultivation of democratic society. Students will gather information and learn to transmit that information through blogs, podcasts, video, and other digital media.",4 credits
66327,CLS-504,Directed Independent Study,,,Variable credit.,
66354,COM-102,Media and Society,GER: HB (Empirical Study of Human Behavior),,"The nature and history of mass communication. Beginning with oral communication and the literacy revolution and moving to print, electronic, and digital forms of communication. Examining the social, economic, political, legal, and cultural aspects of mass communication, as well as the role of technology in the development of mass media.",4 credits
66347,COM-101,Public Speaking,,,"Study of the fundamental principles and strategies of informative, persuasive, and ceremonial speaking. Emphasis on how to research, organize, and deliver a speech. The ethical, political, and social character of public speaking is also examined. Students perform a variety of speeches and oral exercises and serve as speech critics and interlocutors.",4 credits
66353,COM-201,Rhetoric and Strategy,"GER: TA (Critical, Analytical Interpretation of Texts)",,"Topical and historical survey of the major questions in the theory and strategy of public communication, from ancient to contemporary society. Questions of the ethical status of persuasion, the possibility of truthful communication, and the process of identification by which publics are formed will be central.",4 credits
66350,COM-304,Broadcast Communication,,COM-202,"Study of the journalistic, technical, and aesthetic aspects of television production. Report, video record, and edit news stories. Work in teams to produce newscasts and a documentary.",4 credits
66348,COM-310,Argumentation,,COM-201 Rhetoric and Strategy,"Study of the precepts, theories, strategies, and ethics of argument. Students critically analyze arguments found in speeches, public debates and controversies, newspaper articles and editorials, television news programs, and scholarly texts. Students write argumentative essays, present argumentative speeches, and engage in class debates.",4 credits
66355,COM-301,Rhetorical Criticism,"GER: WR (Writing-Research Intensive) and TA (Critical, Analytical Interpretation of Texts)",COM-201,"Survey the methods of analysis, from a perspective of discourse as social action embedded in audiences and constraints. Includes criticism for public and academic goals, and from speech texts toward all types of artifacts. Theories include text-based, sociological, critical/materialist, dramatic/performative, and qualitative/quantitative studies. Students will analyze one text (oral, written, visual, spatial, or performed) over the entire semester.",4 credits
66360,COM-303,Communication Research Methods,GER: HB (Empirical Study of Human Behavior) and WR (Writing/Research Intensive),"Any one of the following: COM-101 , COM-102 , or COM-201","Introduction to mass media research methods. Develops understanding, critical thinking, and provides practice in research related to mass media, including the principles and basic techniques of mass communication research and the application of results. Students will create a research proposal related to various mass media messages, audiences, and institutions.",4 credits
66358,COM-302,Media Criticism,GER: VP (Visual and Performing Arts) and WR (Writing/Research Intensive),"Any one of the following: COM-102 , COM-202 , or FST-202","Critical methods used to analyze the mass media and popular cultural texts. The theoretical basis of such critical methods as semiotics, psychoanalysis, narrative and ideological theory, and cultural studies, and how to use these methods to analyze media texts such as television shows, movies, and magazine advertisements.",4 credits
66356,COM-311,Rhetoric in the Ancient World,"GER: TA (Critical, Analytical Interpretation of Texts)",COM-201,"The history of rhetorical theory and practice from 500 BCE to 500 CE. Focus on Greek and Roman relationship of rhetoric to politics, law, religion, philosophy, liberal education and culture along with an examination of the influence of ancient rhetoric on medieval rhetoric. Readings include selections from the sophists, Isocrates, Plato, Aristotle, Cicero, Quintilian, Tacitus, and Augustine.",4 credits
66357,COM-315,Oratory and Social Change,"GER: TA (Critical, Analytical Interpretation of Texts)",COM-101,"The course examines the history and protracted sociopolitical issues of the United States through iconic and obscure speeches. This approach teaches students the role of eloquence and public discourse in history making, policy making, and social practice.",4 credits
67581,COM-314,Social Media Strategy,,COM-202,"This course engages social and participatory media in the exploration of rhetoric, strategy, and digital storytelling. Students will produce content, assess its effectiveness, and evaluate implications for community, publishing, commerce, and entertainment.",4 credits
66372,COM-318,African American Rhetoric,"GER: TA (Critical, Analytical Interpretation of Texts)",COM-101,"The persuasive efforts, primarily oratorical, by African Americans attempting to gain freedom, establish citizenship, and acquire equal rights. Emphasis on discursive and nondiscursive rhetorical strategies of black identity, power, and community. Consideration of the rhetorical construction of ideologies of struggle, the external and internal debates characteristic of black social movements, and the rhetorical cultivation of black consciousness.",4 credits
66359,COM-323,"Race, Class and Gender in Media","GER: Identities, Equity, and Justice (IEJ)","Any one of the following: COM-101 , COM-102 , AST-200 , or FST-202","Examining how social perceptions of race, gender, and class are influenced by the mass media. The social connections between and among representations in print, film, electronic, digital media, institutional practices, and our experience of race, gender and class.",4 credits
66361,COM-331,Media History,GER: HA (Historical Analysis of Human Interactions),COM-102,"Investigates the changing nature, structure, and function of US popular media industries from approximately the second Industrial Revolution to the Information Age using primary and secondary materials. Examines the historical contexts in which media have been produced, distributed, and consumed, specifically focusing on print, film, radio, television, and early digital developments.",4 credits
66362,COM-335,Political Economy of Mass Media,,COM-102,"Examining the structure, regulation, economics, ownership, and technology of mass media, as well as the influence of these factors on global media content.",4 credits
66363,COM-337,International Communication,GER: WC (World Cultures),COM-102,"A survey of the different media systems in Africa, Asia, Europe, Latin America, Middle East and Oceania. Exploring the basic characteristics of media philosophies, reporting, content and audience in each world region, and discussion of the impact of media globalization which includes: ‘westernization’ of the media, clash of cultures, transnational media conglomerations, new technologies, and other elements.",4 credits
66352,COM-333,Small Group Communication,,COM-101,Investigation and application of theories of small group communication. A systemic view of small groups focusing on the communication competencies and communication processes involved in successful small group leadership and decision making.,4 credits
66364,COM-341,Interpersonal Communication,,COM-101,"Theoretical overview of the oral and nonverbal strategies individuals use when negotiating perspectives on the self and others. Areas of focus include the communicative dynamics involved in friendship, marriage, family, student-teacher, and work relationships.",4 credits
67520,COM-347,Advanced Multimedia Storytelling,,COM-202,"Critical analysis of multimedia stories to research, conceptualize, write, report and produce original multimedia projects that incorporate video, photos, audio, data visualizations and social media tools using best practices and methods.",4 credits
67696,COM-345,Sports Reporting,,COM-202,"Examines the industry of sportscasting with a focus in sports journalism. Students will compose sportscasts in various media forms and learn techniques for writing, shooting, editing, and producing sports journalism pieces in broadcast and digital formats.",4 credits
66367,COM-351,Advocacy,,COM-201 and COM-202,"Study of the history, theories, principles, and strategies of public advocacy in the process of social, political, economic, and legal change. Students examine case studies of advocacy campaigns, consider the ethical and ideological implications of such campaigns, and may engage in service-learning projects associated with a local integrated advocacy campaign.",4 credits
66365,COM-343,Organizational Communication,,COM-101,"Study of the communication within organizations and between organizations and the public. Using theoretical essays and case studies, topics include: hierarchical and participatory decision-making systems, the communicative relationships between and among employers, employees, and the public, and communication-based methods of analyzing corporate culture and resolving ethical dilemmas in the workplace.",4 credits
66366,COM-350,Lenses on Africa,"GER: TA (Critical, Analytical Interpretation of Texts) and WC (World Cultures)","Any one of the following: COM-101 , COM-102 , AST-200 , or FST-202","Explores the African continent through film, focusing on critical social issues and ongoing transformations of social orientations and values. Explores a range of key African filmmakers, taking into account the historical, cultural and social contexts that inform their work. Provides an introduction to African filmmaking practices by focusing on both the form and the content of these films, and by examining the way that African filmmakers project local, national, and regional issues onto global screens.",4 credits
66368,COM-353,Political Communication,GER: HA (Historical Analysis of Human Interactions),COM-101 or COM-102,"Historical and theoretical study of the modern public sphere and public life in Europe and the United States. Focus on how transformations of political ideals, social, and economic institutions, and the media have changed the character of political discourse. Examination of how the changing relationships among state governments, political parties, special interest groups, and social movements affect political discourse.",4 credits
67697,COM-377,Persuasive Message Design,,COM-201 or COM-202,"Study of issues associated with persuasive communication strategy creation, selection, and implementation. Course content will investigate both theoretical and empirical research about message-induced attitude and behavior change. Students will examine the design of influence messages that are effective in different contexts and to various audiences.",4 credits
66369,COM-355,Propaganda,,COM-101 or COM-102,"History, theory, and critique of propaganda. Case studies of propaganda relating to a variety of discursive and social practices including speeches, public spectacles, media events, art, and film. Examining forms of state and non-governmental propaganda. Topics include: American propaganda during WWI, Nazi and fascist propaganda, and the communist propaganda programs of the Soviet Union and China.",4 credits
66379,COM-361,Media Law,,"Any one of the following: COM-102 , COM-202 , POL-101 , or ENG-212","Examines the ways judges, lawmakers, media producers, and citizens have interpreted and enacted key communication laws and policies to shape U.S. mass media governance, industries, and the “marketplace of ideas” throughout our country’s history. Topics include freedom of expression, privacy and surveillance, intellectual property and copyright infringement, net neutrality, and algorithmic bias.",4 credits
67586,COM-376,Strategic Communication,,COM-201 or COM-202,"Study of organizational and campaign rhetoric through the analysis of case studies to create effective solutions in advertising and public relations, brand strategy, digital marketing and social media, as well as political, health, and environmental communication.",4 credits
66374,COM-414,Global Advocacy,GER: WC (World Cultures),COM-201,"Focus on nonviolent movements and the rhetorical aspects of mixed movements (violent and non-violent) of the twentieth and early twenty-first century. Primary emphasis is on the speeches and other persuasive appeals by reformers, including the justifications for democratic reform, forms of protest, strategies of dissent, and confluence of democratic, anti-colonial, and nationalist themes. Also includes consideration of the African, Asian, Latin American, Near Eastern, and Eastern European cultural contexts out of which these rhetorical concerns and movements arise.",4 credits
66375,COM-399,Studies in Mass Media,,,"Concentrated study in one area or theorist of mass communication. Potential topics include the global media integration, the internet as a public sphere, public journalism, the theories of Marshall McLuhan, Hollywood film genres, or Italian film. Varied topics.",4 credits
66371,COM-398,Studies in Rhetoric,,Vary with topic.,"Concentrated study in one area, controversy, or theorist of rhetoric. Possible topics include the rhetoric of law, the rhetoric of social movements, Native American rhetoric, Cicero, or Kenneth Burke. Varied topics.",4 credits
67582,COM-419,"Mobile Media, Space and Place",,COM-101 or COM-102,"Investigates rhetorical and communicative power of mobile media in experiences of space, place, and human environment. Examines the ways mobile, wearable, AR, & VR technology shape movement, navigation, and presence in communication patterns, networks, and interpersonal interactions.",4 credits
66373,COM-412,International Women’s Rhetoric,GER: WC (World Cultures),COM-201,"Analysis of speeches given by women in the international community about their conditions and their circumstances. Exploring the historical, socio-political, and cultural contexts of speeches by women to understand the rhetorical strategies and effects of their messages.",4 credits
67560,COM-457,Mass Media & Political Violence,,COM-102,"Examination of the historical and contemporary roles of mass communication in connection to political crises, wars, and terrorism. Students will learn about pertinent theories and methodologies that guide the research of these topics. Furthermore, students will critically reflect on production and consumption of political violence-related media content.",4 credits
66378,COM-460,Communication Ethics,GER: UQ (Ultimate Questions),"COM 101 and COM-301 , COM-302 , or COM-303","The ethical questions raised by the practice of human communication. The sources of ethical standards, methods of ethical criticism, and perspectives on the ethics of persuasion.",4 credits
66381,COM-475,Seminar in Mass Communication,,varies by section,"Intensive treatment of a major question, theme, or issue in the field of mass communication.",4 credits
67519,COM-451,Civic Media,,COM-102,"Exploration of the tension that is created when digital media is used to foster civic engagement. Students will learn about democracy, intended and unintended audiences, fake news and misinformation, and possibilities for social movements and advocacy. Students can expect to engage in lively discussions and an independent exploration of a case study of their choice, in order to better understand the relationship between civic media, (mis)information, and social movements.",4 credits
66380,COM-470,Seminar in Rhetoric,,varies by section,"Intensive treatment of a major question, theme, or issue in the field of rhetoric.",4 credits
67390,CSC-025,Programming Workshop,,CSC-121,A laboratory course in which students strengthen their computer problem-solving skills and create a portfolio of their work. Students will write programs alone as well as in small groups. May be repeated.,0 credits
66385,COM-505,Structured Internship,,COM-101,"Directed internship in the field of communication. Experiential learning in various career pathways, including advocacy; marketing and strategic communication; journalism and media production; coaching, sports, and mentoring; and fundraising, consulting, and entrepreneurship. Students are required to work approximately 175 hours at their internship site, meet regularly with their workplace and faculty advisors, and submit an internship log and culminating project. Not eligible for the pass-no pass grading option. Not eligible for the pass-no pass grading option. Variable credit.",
66382,COM-501,Independent Study,,COM-101,"Qualified students study in a specific subject or theory of communication under the supervision of a faculty member. Students are required to do intensive reading and research in their subject, meet with their faculty supervisor on a regular basis, write an extensive paper, and give an oral presentation on their work. Not eligible for the pass-no pass grading option. Variable credit.",
66383,COM-502,Directed Research,,"COM-301 , COM-302 , or COM-303 Variable credit.",,
66384,COM-503,Individualized Internship,,COM-101,Not eligible for the pass-no pass grading option. Variable credit.,
66387,CSC-105,Intro to Computer Science,GER: MR (Mathematical and Formal Reasoning),,"A breadth-based, first course in Computer Science and Information Technology through the lens of an interdisciplinary theme. Sample topics include algorithmic thinking, computer design, and a brief exposure to programming. Examples of themes include assistive technology, artificial intelligence, social media, social agents and robots, humanities, games, or any other area that demonstrates significant computer science applications. The first course in the Computer Science and Information Technology majors as well as a Mathematical Reasoning GER. Click here for a list of current topics.",4 credits
66390,CSC-221,Topics in Programming,,CSC-121,Intensive experience in which students study a new programming language or programming paradigm. Practice solving problems individually as well as in a team environment. Significant laboratory component required. Course may be repeated with change of topics. Significant laboratory component required. Course may be repeated with change of topics. May Experience ONLY.,2 credits
66389,CSC-122,Data Structures and Algorithms,,CSC-121,"A second course in computer programming emphasizing object-oriented design, linear data structures, and algorithm design and analysis. Topics include: objects, classes, inheritance, graphical user interfaces, linked lists, queues, stacks, recursion, searching, and sorting.",4 credits
67655,CSC-223,Advanced Data Structures and Software Development,,CSC-122,"This course reviews linear data structures and introduces trees, hash tables, sets, graphs, and complexity analysis about classes of problems that require each data type. Students will design and implement several larger projects using version control software.",4 credits
66388,CSC-121,Intro to Computer Programming,GER: MR (Mathematical and Formal Reasoning),"CSC-105 , BIO-111 , CHM-110 , EES-112 , EES-113 , EES-115 , MTH-145 , MTH-150 , or PHY-111 . May be enrolled concurrently with department permission.","A first course in computer programming. An in-depth study of algorithms, program structure, and debugging. Topics include variables, functions, selection, repetition, lists, and searching.",4 credits
66394,CSC-271,"Digital Dilemmas: Data, Technology, and Being Human",GER: UQ (Ultimate Questions),,"A study of social, legal, and moral issues raised by the development of digital information technologies. Examine the interaction between law, policy, and technology relating to current issues such as intellectual property, privacy, computer crime, and the risks of computing. Topics vary. Topics vary.",4 credits
66391,CSC-231,Computer Organization,,CSC-105 and CSC-121,"Computer structure, machine language, instruction execution, addressing techniques and digital representation of data. Systems organization and logic design. Several projects. Several projects.",4 credits
67507,CSC-270,Computational Techniques for the Humanities,,,"Tools and techniques for creating, manipulating, and analyzing texts computationally. Intended for students of any discipline to provide competence and confidence in thinking about text and language in a digital environment.",4 credits
66392,CSC-241,Mobile Apps,,CSC-121,"Exploration into developing simple applications for mobile platforms like the iPhone, Apple Watch, iPad, and others. Introduction to the appropriate programming language(s) and Software Developers Kits for our mobile platforms and build several useful applications. May Experience ONLY.",2 credits
66393,CSC-261,Discrete Structures for Computer Science,,"CSC-105 , CSC-121 and MTH-120 , MTH-145 , or MTH-150","Introduction to induction, recursion, Boolean algebra and switching theory, directed and undirected graphs, finite state machines and formal languages.",4 credits
66396,CSC-331,Computer Architecture,,CSC-223 and CSC-231,"The design and structure of modern computers. The evolution of computer architecture, processor design, information storage, and operating system organization. Several projects.",4 credits
67339,CSC-273,History of Technology and Discovery,GER: HA (Historical Analysis of Human Interactions),,"A historical survey of technology, invention, and science, and how these have affected society. How have scientific discoveries affected our understanding of the universe and our place in it? How have human needs driven mankind to invent technology and apply scientific principles to solve human problems? Special emphasis will be placed on computer systems and their evolving role in society.",4 credits
66395,CSC-272,Introduction to Data Mining,GER: HB (Empirical Study of Human Behavior),CSC-121 Intro to Computer Programming,"The algorithms and computing tools fundamental to data science: the process of extracting accurate and generalizable models from data via machine learning. Topics will include the prediction of outcomes, the discovery of associations, and the identification of similar groups. Students will complete a project related to human behavior, starting with data collection and cleaning, culminating in the presentation of a model and visualization of results.",4 credits
66398,CSC-341,Database Management Systems,,CSC-122,"Fundamental principles of data base models and data base management systems design, implementation, and application.",4 credits
66397,CSC-332,Data Communications and Networking,,CSC-122 and CSC-231,"Introduction to the concepts and principles of data communications and computer networks. Topics include LANs, internetworking, routing, congestion and flow control, client/server applications and network security.",4 credits
66403,CSC-346,Operating Systems,,CSC-223 and CSC-231,"An introduction to the design of modern operating systems. Topics include processes, scheduling, synchronization, deadlock, file and memory management, I/O, security, and distributed systems.",4 credits
66399,CSC-342,Web-Based Application Design & Development,,CSC-122,"An intensive, project-based introduction to a wide range of programming techniques used in developing interactive, data-driven Web applications. Coverage includes the integrated use of client-side scripting, server-side scripting, online database technology and multimedia authoring tools. Special topics of current interest are also covered. Special topics of current interest are also covered.",4 credits
66400,CSC-343,Artificial Intelligence,,CSC-223 and CSC-261,A study of methods and models for making a computer display behavior that would be considered intelligent if done by a human.,4 credits
66401,CSC-344,Computer Graphics and Image Processing,,CSC-223 and CSC-261,"Fundamentals of computer graphics and image processing. Topics include: mathematical representations for scaling, rotation, translation and projection on viewing plane. Major project requires design and implementation of a three-dimensional graphics display system",4 credits
66402,CSC-345,Computational Science,,CSC-223 and CSC-261 and MTH-150,"Exploration of algorithms for simulation, data analysis, and optimization necessary for a variety of scientific applications. Parallel computation will also be explored as an alternative when serial algorithms are not sufficient.",4 credits
66405,CSC-351,Project Management,,CSC-122,"Principles, tools, and techniques of software project management. Major topics include initiating projects, planning projects, executing and controlling projects, closing projects, and professional responsibilities.",4 credits
66404,CSC-347,Human Computer Interaction,,CSC-122,"Introduction to the field of Human-Computer Interaction (HCI) focusing on a user-centered design process including the theory and application of what makes a user interface usable. Application of design principles and empirical studies to identify a design problem, analyze requirements, and iteratively design, implement and evaluate a solution. HCI research topics such as social technologies, universal usability and participatory design will also be examined.",4 credits
67508,CSC-348,Game Design & Development,,CSC-223,"An interactive overview of game design and development. Game design from a historical perspective by analyzing classic and modern board games and video games. Topics include: immersion, storytelling, mechanics, balance and fairness, and content. Engage student design ideas by iteratively developing an original, prototype game. Game development topics include: scripting, interaction, detecting objects, collision detection, and artificial intelligence (AI).",4 credits
66407,CSC-353,Software Engineering,,CSC-223,Principles of design of large computer programs and systems of programs. Topics include file structures and advanced features of business-oriented languages.,4 credits
66406,CSC-352,Systems Analysis,,CSC-122,"A study of the principles involved in the design and implementation of computer applications. Topics include problem analysis techniques, documentation standards, prototyping and fourth-generation languages, and organizational impact of information systems.",4 credits
67546,CSC-364,Compilers,,CSC-223 and CSC-231,"Introduction to the theory and practice of compiler design: translation of high-level languages into assembly language. Topics will include tokenizing, parsing, type checking, code generation and optimization. Several programming projects required. 4",
66408,CSC-361,Information Structures,,CSC-223 and CSC-261 and MTH-150,"Basic concepts of data. Linear lists, strings, arrays and orthogonal lists. Representation of trees and graphs. Multilinked structures. Analysis of the time and space complexity of several important algorithms.",4 credits
66409,CSC-362,Information Security,,CSC-122,"Fundamental principles and practices affecting computer and information security. Basic concepts of confidentiality, integrity, and availability and how they affect the security of computer systems, networks, and applications. Authentication models, intrusion detection, cryptography, software vulnerabilities, and issues of law and privacy.",4 credits
66410,CSC-363,Programming Language Structures,,CSC-223,Study of several programming languages including specification of syntax and semantics. Global properties of algorithmic languages. Several programming projects. Several programming projects.,4 credits
67543,CSC-372,Machine Learning with Big Data,,(CSC-122 and CSC-272) and (MTH-120 or MTH-150),"An applied study of algorithms and models to perform machine learning on very large datasets. Topics will include how to mine unstructured datasets (e.g., text and images) using deep learning and programming scalable data science applications over the cloud. Students will complete a data science project tailored to a significant real world problem domain. 4",
66411,CSC-461,Computational Theory,,CSC-122 and CSC-261,"Introduction to topics in computability, automata and formal language theory. Applications of these concepts to various areas of computer science.",4 credits
66414,CSC-501,Independent Study,,,Variable credit.,
66412,CSC-465,Introduction to Numerical Analysis,,CSC-223 and CSC-261 and MTH-150,Introduction to the numerical algorithms fundamental to mathematical and scientific problems.,4 credits
66413,CSC-475,Seminar in Computer Science,GER: WR (Writing-Research Intensive),,"any first year writing seminar, CSC-122 and one CSC course numbered 300 or greater Prepare papers on topics drawn from research journals in computer science and give oral presentations on articles read. Enrollment limited to juniors and seniors.",4 credits
66415,CSC-502,Research,GER: WR (Writing/Research Intensive),,Theoretical or laboratory research in computer science with potential for publication in professional journals or presentation at professional meetings. Results are presented to a committee for evaluation. May be retaken for credit.,4 credits
67578,DAN-230,Musical Theatre Dance,,,"This studio course will expose students to various dance styles often found in musical theatre choreography, including in depth study of jazz, tap, and contemporary dance techniques. Students will acquire vocabulary and awareness of the styles frequently used in musical theatre by enhancing artistic agency through developing proficient physicality, form, body mechanics, and corporeality.",4 credits
67577,DAN-120,Foundation of Dance,,,"MB (Mind and Body) This class offers pathways to activating the body’s expressive potential and encourages spontaneity of movement through dance. Students will learn basic elements, while acquiring a vocabulary and awareness of the fundamental styles frequently used in contemporary dance practices and movement analysis. The content of this course will be both physical and intellectual in the approach. No experience necessary. 4",
67456,DSC-475,Seminar in Applied Data Science,,,"CSC-105 or CSC-121 , CSC-272 , and one of the following: BIO-222 , ECN-120 , MTH-120 , MTH-341 , POL-150 , PSY-202 or SOC-303 . A capstone experience for students studying data science. Involves a significant interdisciplinary data analytics project, emphasizing data acquisition, preparation, analysis, and written and oral presentation of results.",4 credits
