name,short_name,slug,status,visibility,category_names,description,summary
Furman University Engineering Club,FUEC,engineering,Active,Public,Academic;Special Interest,"The Furman University Engineering Club is dedicated to giving students engineering and building opportunities, we invite speakers in engineering for CLPs, host workshops on different constructing and engineering skills, like soldering or using power tools, and on building a robotics/competition team at Furman. We want to give students at Furman these opportunities, to build up their resumes and skill sets and offer students the opportunity to enjoy engineering and physics in a low-pressure environment to help build enthusiasm around the field of engineering.","The Furman University Engineering Club is dedicated to giving students engineering and building opportunities, through speakers, workshops, and preparing student for engineering competitions, like on a robotics team. This club is open to all students."
Furman University Equestrian Team,FUET,furman-university-equestrian-team,Active,Public,Atheltics;Club Sports,"The Furman University Equestrian Team (FUET) is a club sports organization open to any full-time undergraduate student. We are a hunt seat team and compete in Zone 5, Region 3 of the Intercollegiate Horse Show Association (IHSA). Riders of all skill levels and experience are welcome to the team. We ride with Leslie Krieger and Muffin Forrester of Top Call Farm.","The Furman University Equestrian Team (FUET) is a club sports organization open to any full-time undergraduate student. We are a hunt seat team and compete in Zone 5, Region 3 of the Intercollegiate Horse Show Association (IHSA)"
Furman University Fashion Students,FUFS,fufs,Active,Public,Fine Arts;Special Interest,,"FUFS is a community of students who are interested in or passionate about fashion. We celebrate creativity, diversity, and self-expression, providing a space for members to connect and share their love for all things fashion."
Furman University Film Club,FuFC,furmanfilmclub,Active,Public,Media;Fine Arts;Special Interest,,"The purpose of FUFC, shall be to provide a space for Furman students who are lovers of film where we can watch, discuss, analyze, and form opinions on films to gain a deeper understanding of the media."
Furman University Fish and Fly Club,FU FFC,fishandfly,Active,Public,Community Service;Special Interest,The Furman University Fish and Fly Club promotes fishing and fly fishing as a form of outdoor recreation. The club also aims to bring together students and faculty to provide opportunities to learn about fishing and to develop a conservation ethic.,The Furman University Fish and Fly Club promotes fishing and fly fishing as a form of outdoor recreation. The club also aims to bring together students and faculty to provide opportunities to learn about fishing and to develop a conservation ethic.
Furman University FUtones,FUtones,furman-futones,Active,Public,Fine Arts,"The FUtones, Furman's only co-ed a cappella group, love to sing and have fun doing it! We perform arrangements of popular music at a high level of excellence at campus and community events, have one major concert per semester, and occasionally collaborate with other groups on campus!","The FUtones, Furman's only contemporary co-ed a cappella group, love to sing and have fun doing it! We perform arrangements of popular music at a high level of excellency at campus and community events and have one major concert per semester!"
Furman University Global Health Alliance,FUGHA,fugha,Active,Public,Academic;Diversity and Inclusion;Community Service;Special Interest,Furman University Global Health Alliance serves as an organization to give students the chance to pursue health related service opportunities. Our mission is to promote and improve the health of individuals in the community and around the world,Furman University Global Health Alliance serves as an organization to give students the chance to pursue health related service opportunities. Our mission is to promote and improve the health of individuals in the community and around the world.
Furman University Gospel Ensemble,FUGE,furman-university-gospel-ensemble,Active,Public,Media;Diversity and Inclusion;Fine Arts;Programmatic;Religious Council;Community Service;Special Interest,"The Furman University Gospel Ensemble is a nondenominational organization whose purpose is to minister to people through the singing of gospel music in the African American tradition. The choir performs on campus, in area churches, and throughout the community and the state. The Gospel Ensemble also serves as an instrument for the promotion of religious and cultural awareness and diversity.","The Furman University Gospel Ensemble is a nondenominational organization whose purpose is to minister to people through the singing of gospel music in the African American tradition. The choir performs on campus, in area churches, and throughout the c..."
Furman University Grill Club,FU Grill Club,grillclub,Active,Public,Special Interest,,"A laid back club where all are welcome to come socialize, have fun, and fire up the grill. Check out our instagram announcements if you want to cook to theme, otherwise you can bring whatever you want to throw on the grill."
Furman University Health Majors Club,Health Majors Club,fu-health-majors-club,Active,Public,Academic;University Department/Office;Diversity and Inclusion;Special Interest,"The Furman University Health Majors Club is dedicated to educating and informing prospective and declared students in health-related majors about potential careers and graduate/professional school opportunities. The Health Majors Club also exists to facilitate peer mentorship through our various events and will seek to empower our members to become well-informed and proactive contributors to the field of health. In addition, we strive to be an inclusive and social space for all health-related majors, ensuring that every student can find support and guidance as they navigate the diverse pathways within the health field.",The Health Majors Club informs prospective and declared students in health-related majors about potential careers and graduate/professional opportunities. We facilitate peer mentorship and empower members to positively contribute to the health field.
Furman University HOSA - Future Health Professionals ,FU HOSA,fu_hosa,Active,Public,Special Interest,"HOSA is a global organization with the mission to empower future health professionals to become leaders in the global health community, through education, collaboration, and experience. We will provide opportunities to compete in the state and international HOSA competitions in a variety of events including medical terminology, pharmacology, EMT skills, biotechnology, and more, meetings highlighting different healthcare professions, and involvement in a community of pre-health students!","HOSA is a global organization with the mission to empower future health professionals to become leaders in the global health community, through education, collaboration, and experience."
Furman University International Student Association,FUISA,furman-university-international-student-associatio,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"FUISA is the home for international students at Furman. However, its membership is open to the entire Furman campus. The purpose of FUISA is to provide opportunities for international and US students to interact socially, to help the international students in their adjustment to US culture, and to raise campus awareness of cross-cultural issues. FUISA will also seek to sponsor events with other organizations and promote open dialogue with these groups to encourage greater support for international events on campus.","FUISA is home for international students at Furman. Its membership is open to the entire Furman campus. The purpose of FUISA is to provide opportunities for international and US students to interact socially, and create connections that bridge cultures."
Furman University Investment Club,FUIC,furman-university-investment-club,Active,Public,Academic;University Department/Office;Special Interest,The Furman University Investment Club (FUIC) is a student-run campus organization that serves as the sub-advisor for a minority portion of the Furman endowment. The primary goal of FUIC is to give students the opportunity to learn about investments through real-world trading. A secondary goal is to maximize returns while investing assets under management prudently.,The Furman University Investment Club (FUIC) is a student-run campus organization that serves as the sub-advisor for a minority portion of the Furman endowment. The primary goal of FUIC is to give students the opportunity to learn about investments thr...
Furman University Jazz Ensemble,Jazz Ensemble,furman-university-jazz-ensemble,Active,Public,Academic;Fine Arts,"The Jazz Ensemble performs the best big band literature in jazz, Latin and fusion, entertaining groups with concerts on campus and throughout the state. Membership is by audition and open to all interested students, music major and non-major alike. Outstanding guitar, bass, drum set and jazz piano students team up with saxophone, trombone and trumpet musicians to prepare several performances throughout the year. As part of the jazz program, quartets and small combos branch out to explore literature for smaller ensembles.","The Jazz Ensemble performs the best big band literature in jazz, Latin and fusion, entertaining groups with concerts on campus and throughout the state. Membership is by audition and open to all interested students, music major and non-major alike."
